strategy,type,mode,filter,horizon,trail_n,sl_n,tp_n,tmo_n,early_exit_n,avg_peak,avg_peak_drop,n_trades,wr_pct,avg_pnl_pct,median_pnl_pct,sharpe,kelly,final_bankroll,max_dd_pct,total_pnl_usd
SCALP_TP30_SL10,SCALP,LAZY_XSLOW,ALL,15,0,38,17,28,10,32.1,16.1,83,45.78313253012048,7.646144578313254,-4.83,1.2466313653300891,0.2723751748091415,1071.2872303267284,11.431961626800138,571.2872303267284
SCALP_TP30_SL10,SCALP,LAZY_XSLOW,ALL,30,0,39,17,27,10,32.1,16.1,83,45.78313253012048,7.637710843373494,-4.83,1.2449574827309084,0.27207474365655426,1070.3667998834028,11.431961626800138,570.3667998834028
SCALP_TP25_SL10,SCALP,LAZY_XSLOW,ALL,15,0,37,19,27,12,32.1,16.4,83,46.98795180722892,7.057710843373494,-4.09,1.1909869089094138,0.27338622881107477,1012.0682989589492,12.510196349030533,512.0682989589492
SCALP_TP25_SL10,SCALP,LAZY_XSLOW,ALL,30,0,38,19,26,12,32.1,16.4,83,46.98795180722892,7.049277108433735,-4.09,1.1892681489137777,0.2730595411582166,1011.2041532607735,12.510196349030533,511.2041532607735
DTRAIL3_ACT15_SL40,DTRAIL,LAZY_FAST,ALL,120,53,19,0,11,14,35.2,21.4,83,56.62650602409639,7.645783132530121,6.2700000000000005,0.5970041386337956,0.2235511749699315,965.2989406568252,41.78752333210371,465.29894065682515
DTRAIL3_ACT10_SL40,DTRAIL,LAZY_FAST,ALL,180,59,18,0,6,19,34.2,20.6,83,59.036144578313255,7.560963855421687,6.2700000000000005,0.5970730462226707,0.24007414945092898,958.420079631909,40.09588306116843,458.42007963190895
DTRAIL3_ACT10_SL40,DTRAIL,LAZY_FAST,ALL,240,59,18,0,6,19,34.2,20.6,83,59.036144578313255,7.560963855421687,6.2700000000000005,0.5970730462226707,0.24007414945092898,958.420079631909,40.09588306116843,458.42007963190895
DTRAIL3_ACT10_SL40,DTRAIL,LAZY_FAST,ALL,360,59,18,0,6,19,34.2,20.6,83,59.036144578313255,7.560963855421687,6.2700000000000005,0.5970730462226707,0.24007414945092898,958.420079631909,40.09588306116843,458.42007963190895
DTRAIL3_ACT10_SL40,DTRAIL,LAZY_FAST,ALL,120,59,18,0,6,19,34.2,20.7,83,59.036144578313255,7.483855421686747,6.2700000000000005,0.5914483158014581,0.23762581852402814,951.8593555466234,38.49111824614163,451.8593555466234
DTRAIL3_ACT15_SL40,DTRAIL,LAZY_FAST,ALL,180,53,19,0,11,14,35.3,21.7,83,56.62650602409639,7.424216867469879,6.2700000000000005,0.5769644537383516,0.2159966033445691,941.3345260963998,43.06074575726758,441.3345260963998
DTRAIL3_ACT15_SL40,DTRAIL,LAZY_FAST,ALL,240,53,19,0,11,14,35.3,21.7,83,56.62650602409639,7.424216867469879,6.2700000000000005,0.5769644537383516,0.2159966033445691,941.3345260963998,43.06074575726758,441.3345260963998
DTRAIL3_ACT15_SL40,DTRAIL,LAZY_FAST,ALL,360,53,19,0,11,14,35.3,21.7,83,56.62650602409639,7.424216867469879,6.2700000000000005,0.5769644537383516,0.2159966033445691,941.3345260963998,43.06074575726758,441.3345260963998
SCALP_TP30_SL15,SCALP,LAZY_XSLOW,ALL,15,0,33,18,32,6,33.1,18.1,83,46.98795180722892,6.177710843373494,-1.78,0.9465768719096842,0.2197050208292522,916.5250456094509,14.867262944196858,416.5250456094509
SCALP_TP30_SL10,SCALP,LAZY_XSLOW,ALL,60,0,48,20,15,10,33.4,18.3,83,37.34939759036144,6.095903614457832,-10.27,0.9642522220410547,0.18381337073175247,911.8264825848794,12.346011008851912,411.8264825848794
DTRAIL3_ACT5_SL40,DTRAIL,LAZY_FAST,ALL,120,64,16,0,3,24,31.9,19.3,83,55.42168674698795,7.032650602409639,2.96,0.5647129595436684,0.22720065716492027,910.2292303295221,36.69391928240721,410.2292303295221
SCALP_TP30_SL15,SCALP,LAZY_XSLOW,ALL,30,0,34,18,31,6,33.1,18.2,83,46.98795180722892,6.1092771084337345,-1.78,0.9343942896445675,0.21727123337277215,909.5445043320876,14.867262944196858,409.5445043320876
DTRAIL3_ACT10_SL40,DTRAIL,LAZY_FAST,ALL,60,55,16,0,12,19,33.5,20.5,83,56.62650602409639,7.06289156626506,5.09,0.5593778116496149,0.21944305860599317,908.2872611799894,36.86751113158047,408.2872611799894
SCALP_TP30_SL20,SCALP,LAZY_STD,ALL,15,0,24,25,34,20,31.0,17.7,83,49.39759036144578,5.9471084337349405,-1.58,0.9388982784493402,0.21066079673002303,897.7437502942852,22.437041097801703,397.7437502942852
DTRAIL3_ACT5_SL40,DTRAIL,LAZY_FAST,ALL,180,64,16,0,3,24,31.9,19.4,83,55.42168674698795,6.881686746987952,2.96,0.5514476255318161,0.22232353627564916,893.0818381775017,37.729909493931245,393.0818381775017
DTRAIL3_ACT5_SL40,DTRAIL,LAZY_FAST,ALL,240,64,16,0,3,24,31.9,19.4,83,55.42168674698795,6.881686746987952,2.96,0.5514476255318161,0.22232353627564916,893.0818381775017,37.729909493931245,393.0818381775017
DTRAIL3_ACT5_SL40,DTRAIL,LAZY_FAST,ALL,360,64,16,0,3,24,31.9,19.4,83,55.42168674698795,6.881686746987952,2.96,0.5514476255318161,0.22232353627564916,893.0818381775017,37.729909493931245,393.0818381775017
DTRAIL3_ACT15_SL40,DTRAIL,LAZY_FAST,ALL,60,51,17,0,15,14,34.5,21.4,83,53.01204819277109,6.952048192771085,3.16,0.5433042255632856,0.19474144229312612,892.6220821644212,40.9430104838964,392.62208216442116
DTRAIL5_ACT10_SL40,DTRAIL,LAZY_FAST,ALL,180,58,18,0,7,18,34.8,21.5,83,56.62650602409639,6.73867469879518,3.64,0.5597247016725776,0.21271354845955753,884.7080528868278,42.91789994107874,384.7080528868278
DTRAIL5_ACT10_SL40,DTRAIL,LAZY_FAST,ALL,240,58,18,0,7,18,34.8,21.5,83,56.62650602409639,6.73867469879518,3.64,0.5597247016725776,0.21271354845955753,884.7080528868278,42.91789994107874,384.7080528868278
DTRAIL5_ACT10_SL40,DTRAIL,LAZY_FAST,ALL,360,58,18,0,7,18,34.8,21.5,83,56.62650602409639,6.73867469879518,3.64,0.5597247016725776,0.21271354845955753,884.7080528868278,42.91789994107874,384.7080528868278
DTRAIL5_ACT10_SL40,DTRAIL,LAZY_FAST,ALL,120,58,18,0,7,18,34.8,21.6,83,56.62650602409639,6.661566265060241,3.64,0.553815822211984,0.2102795374278557,878.2732127638246,41.38873382657055,378.27321276382463
