strategy,source,poll_sec,mode,n,wr_pct,avg_pnl_pct,median_pnl_pct,sum_pnl_usd
FAST_TP50_SL30,jupiter,0,raw,30,50.0,3.67,-3.12,24.41
FAST_TP50_SL30,jupiter,0,median_3,30,53.3,5.85,4.58,46.55
FAST_TP50_SL30,jupiter,0,median_5,30,50.0,3.42,-3.12,10.03
FAST_TP50_SL30,jupiter,0,winsor_p95,30,50.0,4.55,-3.12,27.05
FAST_TP50_SL30,jupiter,0,dual_confirm,30,53.3,5.85,4.58,46.55
FAST_TP50_SL30,jupiter,0,ema_fast,30,53.3,4.83,4.58,43.5
FAST_TP50_SL30,jupiter,0,ema_slow,30,53.3,6.15,4.58,46.82
FAST_TP50_SL30,jupiter,0,hysteresis,30,53.3,2.24,4.58,33.83
FAST_TP50_SL30,jupiter,0,volume_gated,30,50.0,3.67,-3.12,24.41
FAST_TP50_SL30,jupiter,30,raw,30,50.0,3.67,-3.12,24.41
FAST_TP50_SL30,jupiter,30,median_3,30,53.3,5.85,4.58,46.55
FAST_TP50_SL30,jupiter,30,median_5,30,50.0,3.42,-3.12,10.03
FAST_TP50_SL30,jupiter,30,winsor_p95,30,50.0,4.55,-3.12,27.05
FAST_TP50_SL30,jupiter,30,dual_confirm,30,53.3,5.85,4.58,46.55
FAST_TP50_SL30,jupiter,30,ema_fast,30,53.3,4.83,4.58,43.5
FAST_TP50_SL30,jupiter,30,ema_slow,30,53.3,6.15,4.58,46.82
FAST_TP50_SL30,jupiter,30,hysteresis,30,53.3,2.24,4.58,33.83
FAST_TP50_SL30,jupiter,30,volume_gated,30,50.0,3.67,-3.12,24.41
FAST_TP50_SL30,jupiter,60,raw,30,50.0,3.48,-3.12,24.08
FAST_TP50_SL30,jupiter,60,median_3,30,53.3,5.67,3.1,46.22
FAST_TP50_SL30,jupiter,60,median_5,30,50.0,3.23,-3.12,9.7
FAST_TP50_SL30,jupiter,60,winsor_p95,30,50.0,4.37,-3.12,26.72
FAST_TP50_SL30,jupiter,60,dual_confirm,30,53.3,5.67,3.1,46.22
FAST_TP50_SL30,jupiter,60,ema_fast,30,53.3,4.65,3.1,43.17
FAST_TP50_SL30,jupiter,60,ema_slow,30,53.3,5.92,3.1,41.92
FAST_TP50_SL30,jupiter,60,hysteresis,30,53.3,2.26,3.1,34.14
FAST_TP50_SL30,jupiter,60,volume_gated,30,50.0,3.48,-3.12,24.08
FAST_TP50_SL30,jupiter,120,raw,30,50.0,3.97,-0.93,25.82
FAST_TP50_SL30,jupiter,120,median_3,30,50.0,3.49,-0.93,6.29
FAST_TP50_SL30,jupiter,120,median_5,30,50.0,6.12,-0.93,40.74
FAST_TP50_SL30,jupiter,120,winsor_p95,30,53.3,4.63,7.79,43.39
FAST_TP50_SL30,jupiter,120,dual_confirm,30,53.3,5.92,7.79,42.76
FAST_TP50_SL30,jupiter,120,ema_fast,30,53.3,5.27,7.79,45.32
FAST_TP50_SL30,jupiter,120,ema_slow,30,53.3,5.75,7.79,41.63
FAST_TP50_SL30,jupiter,120,hysteresis,30,53.3,4.35,7.79,42.85
