strategy,source,poll_sec,mode,n,wr_pct,avg_pnl_pct,median_pnl_pct,sum_pnl_10usd
FAST_TP70_SL30,jupiter,60,raw,30,50.0,8.67,-3.12,26.02
FAST_TP70_SL30,jupiter,60,median_3,30,53.3,9.52,3.1,28.57
FAST_TP70_SL30,jupiter,60,median_5,30,50.0,7.09,-3.12,21.26
FAST_TP70_SL30,jupiter,60,winsor_p95,30,50.0,9.03,-3.12,27.08
FAST_TP70_SL30,jupiter,60,dual_confirm,30,53.3,9.52,3.1,28.57
FAST_TP70_SL30,jupiter,60,ema_fast,30,53.3,9.52,3.1,28.57
FAST_TP70_SL30,jupiter,60,ema_slow,30,53.3,7.76,3.1,23.29
FAST_TP70_SL30,jupiter,60,hysteresis,30,53.3,2.26,3.1,6.79
FAST_TP70_SL30,jupiter,60,volume_gated,30,50.0,8.67,-3.12,26.02
FAST_TP70_SL30,jupiter,120,raw,30,50.0,9.3,-0.93,27.89
FAST_TP70_SL30,jupiter,120,median_3,30,50.0,8.35,-0.93,25.06
FAST_TP70_SL30,jupiter,120,median_5,30,50.0,8.39,-0.93,25.18
FAST_TP70_SL30,jupiter,120,winsor_p95,30,53.3,8.49,7.79,25.46
FAST_TP70_SL30,jupiter,120,dual_confirm,30,53.3,9.61,7.79,28.82
FAST_TP70_SL30,jupiter,120,ema_fast,30,53.3,10.15,7.79,30.44
FAST_TP70_SL30,jupiter,120,ema_slow,30,53.3,8.39,7.79,25.16
FAST_TP70_SL30,jupiter,120,hysteresis,30,53.3,4.35,7.79,13.04
FAST_TP70_SL30,jupiter,120,volume_gated,30,50.0,9.3,-0.93,27.89
FAST_TP70_SL30,dexscreener,60,raw,30,46.7,4.47,-9.35,13.42
FAST_TP70_SL30,dexscreener,60,median_3,30,50.0,5.68,-3.74,17.03
FAST_TP70_SL30,dexscreener,60,median_5,30,46.7,4.43,-9.35,13.29
FAST_TP70_SL30,dexscreener,60,winsor_p95,30,46.7,4.47,-9.35,13.42
FAST_TP70_SL30,dexscreener,60,dual_confirm,30,53.3,9.02,1.49,27.05
FAST_TP70_SL30,dexscreener,60,ema_fast,30,50.0,6.93,-3.74,20.8
FAST_TP70_SL30,dexscreener,60,ema_slow,30,53.3,8.29,1.49,24.87
FAST_TP70_SL30,dexscreener,60,hysteresis,30,53.3,1.98,1.49,5.95
FAST_TP70_SL30,dexscreener,60,volume_gated,30,46.7,4.47,-9.35,13.42
FAST_TP70_SL30,dexscreener,120,raw,30,50.0,8.26,-2.01,24.77
FAST_TP70_SL30,dexscreener,120,median_3,30,50.0,9.14,-2.01,27.41
FAST_TP70_SL30,dexscreener,120,median_5,30,50.0,6.83,-2.01,20.48
FAST_TP70_SL30,dexscreener,120,winsor_p95,30,53.3,7.24,3.21,21.71
FAST_TP70_SL30,dexscreener,120,dual_confirm,30,53.3,10.2,3.21,30.61
FAST_TP70_SL30,dexscreener,120,ema_fast,30,53.3,9.37,3.21,28.1
FAST_TP70_SL30,dexscreener,120,ema_slow,30,53.3,7.3,3.21,21.91
FAST_TP70_SL30,dexscreener,120,hysteresis,30,53.3,3.87,3.21,11.6
FAST_TP70_SL30,dexscreener,120,volume_gated,30,50.0,8.26,-2.01,24.77
FAST_TP70_SL30,both,60,raw,30,50.0,7.81,-3.12,23.43
FAST_TP70_SL30,both,60,median_3,30,53.3,9.16,3.1,27.48
FAST_TP70_SL30,both,60,median_5,30,50.0,6.72,-3.12,20.17
FAST_TP70_SL30,both,60,winsor_p95,30,50.0,7.81,-3.12,23.43
FAST_TP70_SL30,both,60,dual_confirm,30,53.3,9.16,3.1,27.48
FAST_TP70_SL30,both,60,ema_fast,30,53.3,9.16,3.1,27.48
FAST_TP70_SL30,both,60,ema_slow,30,53.3,7.4,3.1,22.21
FAST_TP70_SL30,both,60,hysteresis,30,53.3,2.11,3.1,6.32
FAST_TP70_SL30,both,60,volume_gated,30,50.0,7.81,-3.12,23.43
FAST_TP70_SL30,both,120,raw,30,50.0,8.44,-0.93,25.31
FAST_TP70_SL30,both,120,median_3,30,50.0,7.99,-0.93,23.97
FAST_TP70_SL30,both,120,median_5,30,50.0,7.98,-0.93,23.95
FAST_TP70_SL30,both,120,winsor_p95,30,53.3,8.12,7.79,24.37
FAST_TP70_SL30,both,120,dual_confirm,30,53.3,9.24,7.79,27.73
FAST_TP70_SL30,both,120,ema_fast,30,53.3,9.78,7.79,29.35
FAST_TP70_SL30,both,120,ema_slow,30,53.3,7.98,7.79,23.93
FAST_TP70_SL30,both,120,hysteresis,30,53.3,3.99,7.79,11.96
FAST_TP70_SL30,both,120,volume_gated,30,50.0,8.44,-0.93,25.31
FAST_TP80_SL25,jupiter,60,raw,30,46.7,6.9,-9.28,20.7
FAST_TP80_SL25,jupiter,60,median_3,30,50.0,8.15,-3.12,24.45
FAST_TP80_SL25,jupiter,60,median_5,30,46.7,7.01,-9.28,21.04
