strategy,source,poll_sec,mode,n,wr_pct,avg_pnl_pct,median_pnl_pct,sum_pnl_10usd
FAST_TP70_SL30,jupiter,60,raw,102,40.2,-0.02,-15.58,-0.18
FAST_TP70_SL30,jupiter,60,median_3,102,41.2,0.96,-13.26,9.8
FAST_TP70_SL30,jupiter,60,median_5,102,41.2,1.42,-12.9,14.53
FAST_TP70_SL30,jupiter,60,winsor_p95,102,40.2,-0.12,-15.58,-1.22
FAST_TP70_SL30,jupiter,60,dual_confirm,102,41.2,1.38,-13.26,14.05
FAST_TP70_SL30,jupiter,60,ema_fast,102,40.2,-0.45,-13.96,-4.64
FAST_TP70_SL30,jupiter,60,ema_slow,102,42.2,1.38,-12.12,14.09
FAST_TP70_SL30,jupiter,60,hysteresis,102,44.1,-1.08,-8.35,-11.05
FAST_TP70_SL30,jupiter,60,volume_gated,102,40.2,-0.02,-15.58,-0.18
FAST_TP70_SL30,jupiter,120,raw,102,40.2,1.1,-13.71,11.19
FAST_TP70_SL30,jupiter,120,median_3,102,40.2,1.54,-12.5,15.7
FAST_TP70_SL30,jupiter,120,median_5,102,40.2,0.6,-12.5,6.09
FAST_TP70_SL30,jupiter,120,winsor_p95,102,40.2,0.89,-13.71,9.1
FAST_TP70_SL30,jupiter,120,dual_confirm,102,40.2,1.48,-12.5,15.1
FAST_TP70_SL30,jupiter,120,ema_fast,102,40.2,0.9,-13.71,9.21
FAST_TP70_SL30,jupiter,120,ema_slow,102,43.1,1.09,-8.65,11.07
FAST_TP70_SL30,jupiter,120,hysteresis,102,44.1,-1.08,-6.79,-11.02
FAST_TP70_SL30,jupiter,120,volume_gated,102,40.2,1.1,-13.71,11.19
FAST_TP70_SL30,dexscreener,60,raw,102,40.2,0.03,-16.24,0.33
FAST_TP70_SL30,dexscreener,60,median_3,102,41.2,0.37,-13.73,3.81
FAST_TP70_SL30,dexscreener,60,median_5,102,40.2,0.67,-13.01,6.81
FAST_TP70_SL30,dexscreener,60,winsor_p95,102,39.2,-0.44,-16.24,-4.53
FAST_TP70_SL30,dexscreener,60,dual_confirm,102,41.2,0.78,-13.73,7.99
FAST_TP70_SL30,dexscreener,60,ema_fast,102,39.2,-0.96,-16.24,-9.74
FAST_TP70_SL30,dexscreener,60,ema_slow,102,42.2,0.78,-10.94,7.99
FAST_TP70_SL30,dexscreener,60,hysteresis,102,43.1,-1.06,-7.16,-10.86
FAST_TP70_SL30,dexscreener,60,volume_gated,102,40.2,0.03,-16.24,0.33
FAST_TP70_SL30,dexscreener,120,raw,102,39.2,-0.11,-15.45,-1.07
FAST_TP70_SL30,dexscreener,120,median_3,102,39.2,0.72,-13.01,7.33
FAST_TP70_SL30,dexscreener,120,median_5,102,40.2,0.42,-12.21,4.32
FAST_TP70_SL30,dexscreener,120,winsor_p95,102,39.2,-0.05,-14.37,-0.51
FAST_TP70_SL30,dexscreener,120,dual_confirm,102,40.2,1.0,-12.21,10.16
FAST_TP70_SL30,dexscreener,120,ema_fast,102,39.2,-0.16,-13.73,-1.65
FAST_TP70_SL30,dexscreener,120,ema_slow,102,43.1,0.93,-8.7,9.52
FAST_TP70_SL30,dexscreener,120,hysteresis,102,43.1,-0.97,-6.77,-9.86
FAST_TP70_SL30,dexscreener,120,volume_gated,102,39.2,-0.11,-15.45,-1.07
FAST_TP70_SL30,both,60,raw,102,40.2,-0.15,-15.58,-1.48
FAST_TP70_SL30,both,60,median_3,102,41.2,0.65,-13.26,6.59
FAST_TP70_SL30,both,60,median_5,102,41.2,1.15,-12.9,11.71
FAST_TP70_SL30,both,60,winsor_p95,102,40.2,-0.25,-15.58,-2.53
FAST_TP70_SL30,both,60,dual_confirm,102,41.2,1.06,-13.26,10.84
FAST_TP70_SL30,both,60,ema_fast,102,40.2,-0.73,-13.96,-7.46
FAST_TP70_SL30,both,60,ema_slow,102,42.2,0.99,-12.12,10.15
FAST_TP70_SL30,both,60,hysteresis,102,44.1,-1.2,-8.35,-12.26
FAST_TP70_SL30,both,60,volume_gated,102,40.2,-0.15,-15.58,-1.48
FAST_TP70_SL30,both,120,raw,102,40.2,1.09,-13.71,11.15
FAST_TP70_SL30,both,120,median_3,102,40.2,1.33,-12.5,13.53
FAST_TP70_SL30,both,120,median_5,102,40.2,0.49,-12.5,5.03
FAST_TP70_SL30,both,120,winsor_p95,102,40.2,0.59,-13.71,6.03
FAST_TP70_SL30,both,120,dual_confirm,102,40.2,1.27,-12.5,12.92
FAST_TP70_SL30,both,120,ema_fast,102,40.2,0.69,-13.71,7.03
FAST_TP70_SL30,both,120,ema_slow,102,43.1,1.03,-8.65,10.51
FAST_TP70_SL30,both,120,hysteresis,102,44.1,-1.18,-6.79,-12.02
FAST_TP70_SL30,both,120,volume_gated,102,40.2,1.09,-13.71,11.15
FAST_TP80_SL25,jupiter,60,raw,102,36.3,-0.12,-25.22,-1.24
FAST_TP80_SL25,jupiter,60,median_3,102,37.3,1.04,-21.85,10.57
FAST_TP80_SL25,jupiter,60,median_5,102,38.2,1.65,-16.49,16.84
FAST_TP80_SL25,jupiter,60,winsor_p95,102,38.2,1.15,-20.66,11.75
FAST_TP80_SL25,jupiter,60,dual_confirm,102,38.2,2.43,-18.27,24.82
FAST_TP80_SL25,jupiter,60,ema_fast,102,39.2,2.23,-18.27,22.75
FAST_TP80_SL25,jupiter,60,ema_slow,102,42.2,3.75,-12.12,38.24
FAST_TP80_SL25,jupiter,60,hysteresis,102,44.1,-1.08,-8.35,-11.05
FAST_TP80_SL25,jupiter,60,volume_gated,102,36.3,-0.12,-25.22,-1.24
FAST_TP80_SL25,jupiter,120,raw,102,36.3,1.3,-18.27,13.26
FAST_TP80_SL25,jupiter,120,median_3,102,39.2,2.36,-15.02,24.04
FAST_TP80_SL25,jupiter,120,median_5,102,39.2,1.67,-14.34,17.02
FAST_TP80_SL25,jupiter,120,winsor_p95,102,37.3,1.54,-16.49,15.72
FAST_TP80_SL25,jupiter,120,dual_confirm,102,39.2,2.49,-14.81,25.4
FAST_TP80_SL25,jupiter,120,ema_fast,102,39.2,2.53,-15.02,25.81
FAST_TP80_SL25,jupiter,120,ema_slow,102,42.2,3.49,-10.98,35.6
FAST_TP80_SL25,jupiter,120,hysteresis,102,44.1,-1.08,-6.79,-11.02
FAST_TP80_SL25,jupiter,120,volume_gated,102,36.3,1.3,-18.27,13.26
FAST_TP80_SL25,dexscreener,60,raw,102,35.3,-1.6,-25.22,-16.35
FAST_TP80_SL25,dexscreener,60,median_3,102,36.3,-0.01,-18.79,-0.11
FAST_TP80_SL25,dexscreener,60,median_5,102,37.3,1.24,-16.3,12.63
FAST_TP80_SL25,dexscreener,60,winsor_p95,102,36.3,-1.03,-23.93,-10.49
FAST_TP80_SL25,dexscreener,60,dual_confirm,102,38.2,2.32,-16.3,23.7
FAST_TP80_SL25,dexscreener,60,ema_fast,102,36.3,-0.24,-18.79,-2.5
FAST_TP80_SL25,dexscreener,60,ema_slow,102,42.2,3.31,-10.94,33.73
FAST_TP80_SL25,dexscreener,60,hysteresis,102,43.1,-1.06,-7.16,-10.86
FAST_TP80_SL25,dexscreener,60,volume_gated,102,35.3,-1.6,-25.22,-16.35
FAST_TP80_SL25,dexscreener,120,raw,102,36.3,0.79,-16.47,8.02
FAST_TP80_SL25,dexscreener,120,median_3,102,37.3,0.54,-16.24,5.5
